bill_no,intro,link,name,passed,second
"
                 08/2007
            ","
                  27.02.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070008.pdf?sfvrsn=4,Supply Bill,"
                   09.03.2007
            ","
                   
            "
"
                 07/2007
            ","
                  27.02.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070007.pdf?sfvrsn=4,Supplementary Supply (FY 2006) Bill,"
                   09.03.2007
            ","
                   
            "
"
                 06/2007
            ","
                  12.02.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070006.pdf?sfvrsn=4,Spam Control Bill,"
                   12.04.2007
            ","
                   
            "
"
                 05/2007
            ","
                  12.02.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070005.pdf?sfvrsn=4,Land Acquisition (Amendment) Bill,"
                   11.04.2007
            ","
                   
            "
"
                 04/2007
            ","
                  22.01.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070004.pdf?sfvrsn=4,Civil Aviation Authority of Singapore (Amendment) Bill,"
                   12.02.2007
            ","
                   
            "
"
                 03/2007
            ","
                  22.01.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070003.pdf?sfvrsn=4,Health Products Bill,"
                   12.02.2007
            ","
                   
            "
"
                 02/2007
            ","
                  22.01.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070002.pdf?sfvrsn=4,Economic Expansion Incentives (Relief from Income Tax)(Amendment) Bill,"
                   12.02.2007
            ","
                   
            "
"
                 01/2007
            ","
                  22.01.2007
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/070001.pdf?sfvrsn=4,Monetary Authority of Singapore (Amendment) Bill,"
                   12.02.2007
            ","
                   
            "
"
                 24/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060024.pdf?sfvrsn=2,Air Navigation (Amendment) Bill,"
                   23.01.2007
            ","
                   
            "
"
                 23/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060023.pdf?sfvrsn=2,Land Transport Authority of Singapore (Amendment) Bill,"
                   23.01.2007
            ","
                   
            "
"
                 22/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060022.pdf?sfvrsn=2,Charities (Amendment) Bill,"
                   23.01.2007
            ","
                   
            "
"
                 21/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060021.pdf?sfvrsn=2,Children Development Co-Savings (Amendment) Bill,"
                   22.01.2007
            ","
                   
            "
"
                 20/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060020.pdf?sfvrsn=2,Property Tax (Surcharge)(Abolition) Bill,"
                   22.01.2007
            ","
                   
            "
"
                 19/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060019.pdf?sfvrsn=2,Income Tax (Amendment) Bill,"
                   22.01.2007
            ","
                   
            "
"
                 18/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060018.pdf?sfvrsn=2,Education Endowment Scheme (Amendment) Bill,"
                   22.01.2007
            ","
                   
            "
"
                 17/2006
            ","
                  08.11.2006
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/060017.pdf?sfvrsn=2,Arms and Explosives (Amendment) Bill,"
                   22.01.2007
            ","
                   
            "
"
                 31/2014	
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/judges-remuneration-(amendment)-bill-31-2014.pdf?sfvrsn=0,Judges' Remuneration (Amendment) Bill,"
                   04.11.2014
            ","
                   04.11.2014
            "
"
                 30/2014
            ","
                  09.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/education-endowment-and-savings-schemes-(amendment)-bill-30-2014.pdf?sfvrsn=0,Education Endowment and Savings Schemes (Amendment) Bill,"
                   08.10.2014
            ","
                   07.10.2014
            "
"
                 29/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-entertainments-and-meetings-(amendment)-bill-29-2014.pdf?sfvrsn=0,Public Entertainments and Meetings (Amendment) Bill,"
                   08.10.2014
            ","
                   07.10.2014	
            "
"
                 28/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/goods-and-services-tax-(amendment)-bill-28-2014.pdf?sfvrsn=0,Goods and Services Tax (Amendment) Bill,"
                   08.10.2014
            ","
                   07.10.2014	
            "
"
                 27/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/stamp-duties-(amendment)-bill-27-2014.pdf?sfvrsn=0,Stamp Duties (Amendment) Bill,"
                   08.10.2014	
            ","
                   07.10.2014	
            "
"
                 26/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/business-names-registration-bill-26-2014.pdf?sfvrsn=0,Business Names Registration Bill,"
                   08.10.2014	
            ","
                   07.10.2014	
            "
"
                 25/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/companies-(amendment)-bill-25-2014.pdf?sfvrsn=0,Companies (Amendment) Bill,"
                   08.10.2014	
            ","
                   07.10.2014	
            "
"
                 24/2014
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/statutes-(miscellaneous-amdments)-(-no-2)-bill-24-2014.pdf?sfvrsn=0,Statutes (Miscellaneous Amendments) (No. 2) Bill,"
                   07.10.2014	
            ","
                   07.10.2014	
            "
"
                 23/2014	
            ","
                  08.09.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/remote-gambling-bill-23-2014.pdf?sfvrsn=0,Remote Gambling Bill,"
                   07.10.2014	
            ","
                   07.10.2014	
            "
"
                 22/2014
            ","
                  04.08.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/road-traffic-(amendment)-bill-22-2014.pdf?sfvrsn=0,Road Traffic (Amendment) Bill,"
                   08.09.2014	
            ","
                   08.09.2014	
            "
"
                 21/2014
            ","
                  08.07.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/family-justice-bill-21-2014.pdf?sfvrsn=0,Family Justice Bill,"
                   04.08.2014	
            ","
                   04.08.2014	
            "
"
                 20/2014
            ","
                  07.07.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/land-acquisition-(amendment)-bill-20-2014.pdf?sfvrsn=0,Land Acquisition (Amendment) Bill,"
                   05.08.2014
            ","
                   04.08.2014	
            "
"
                 19/2014
            ","
                  07.07.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/attorney-general-(additional-functions)-bill-19-2014.pdf?sfvrsn=0,Attorney-General (Additional Functions) Bill,"
                   05.08.2014	
            ","
                   04.08.2014	
            "
"
                 18/2014
            ","
                  07.07.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/transboundary-haze-pollution-bill-18-2014.pdf?sfvrsn=0,Transboundary Haze Pollution Bill,"
                   05.08.2014	
            ","
                   04.08.2014	
            "
"
                 17/2014
            ","
                  29.05.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/mutual-assistance-in-criminal-matters-(amendment)-bill-17-2014.pdf?sfvrsn=0,Mutual Assistance in Criminal Matters (Amendment) Bill,"
                   08.07.2014	
            ","
                   07.07.2014	
            "
"
                 16/2014
            ","
                  29.05.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/copyright-(amendment)-bill-16-2014.pdf?sfvrsn=0,Copyright (Amendment) Bill,"
                   08.07.2014	
            ","
                   07.07.2014	
            "
"
                 15/2014
            ","
                  28.05.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/corruption-drug-trafficking-and-other-serious-crimes(confiscation-of-benefits-(amendment)-bill-15-2014.pdf?sfvrsn=0,"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) (Amendment) Bill","
                   07.07.2014	
            ","
                   07.07.2014	
            "
"
                 14/2014
            ","
                  26.05.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/radiation-protection-(amendment)-bill-14-2014.pdf?sfvrsn=0,Radiation Protection (Amendment) Bill,"
                   07.07.2014	
            ","
                   07.07.2014	
            "
"
                 13/2014
            ","
                  05.03.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/geographical-indications-bill-13-2014.pdf?sfvrsn=0,Geographical Indications Bill,"
                   14.04.2014	
            ","
                   14.04.2014	
            "
"
                 12/2014
            ","
                  03.03.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/protection-from-harassment-bill-12-2014.pdf?sfvrsn=0,Protection from Harassment Bill,"
                   13.03.2014	
            ","
                   13.03.2014	
            "
"
                 11/2014	
            ","
                  03.03.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supplementary-supply-bill-11-2014.pdf?sfvrsn=0,Supplementary Supply (FY 2013) Bill,"
                   13.03.2014	
            ","
                   13.03.2014	
            "
"
                 10/2014	
            ","
                  03.03.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supply-bill-10-2014.pdf?sfvrsn=0,Supply Bill,"
                   13.03.2014	
            ","
                   13.03.2014	
            "
"
                 09/2014	
            ","
                  17.02.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/plant-varieties-protection-(amendment)-bill-9-2014.pdf?sfvrsn=0,Plant Varieties Protection (Amendment) Bill,"
                   13.03.2014	
            ","
                   13.03.2014	
            "
"
                 08/2014	
            ","
                  17.02.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/accounting-and-corporate-regulatory-authority-(amendment)-bill-8-2014.pdf?sfvrsn=0,Accounting and Corporate Regulatory Authority (Amendment) Bill,"
                   14.04.2014	
            ","
                   14.04.2014	
            "
"
                 07/2014	
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/singapore-institute-of-technology-bill-7-2014.pdf?sfvrsn=0,Singapore Institute of Technology Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 06/2014	
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/air-navigation-(amendment)-bill-6-2014.pdf?sfvrsn=0,Air Navigation (Amendment) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 05/2014	
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/rapid-transit-systems-(amendment)-bill-5-2014.pdf?sfvrsn=0,Rapid Transit Systems (Amendment) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 04/2014	
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/land-titles-(amendment)-bill-4-2014.pdf?sfvrsn=0,Land Titles (Amendment) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 03/2014	
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/environmental-public-health-(amendment)-bill-3-2014.pdf?sfvrsn=0,Environmental Public Health (Amendment) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 02/2014
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/singapore-tourism-board-(amendment)bill-2-2014.pdf?sfvrsn=0,Singapore Tourism Board (Amendment) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 01/2014
            ","
                  20.01.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-order-(additional-temporary-measures)-bill-1-2014.pdf?sfvrsn=0,Public Order (Additional Temporary Measures) Bill,"
                   17.02.2014	
            ","
                   17.02.2014	
            "
"
                 27/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/merchant-shipping-(maritime-labour-convention)-bill-27-2013.pdf?sfvrsn=0,Merchant Shipping (Maritime Labour Convention) Bill,"
                   21.01.2014
            ","
                   20.01.2014	
            "
"
                 26/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/subordinate-courts-(amendment)-bill-26-2013.pdf?sfvrsn=0,Subordinate Courts (Amendment) Bill,"
                   21.01.2014	
            ","
                   20.01.2014	
            "
"
                 25/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/statutes-(miscellaneous-amendments)-bill-25-2013.pdf?sfvrsn=0,Statutes (Miscellaneous Amendments) Bill,"
                   21.01.2014	
            ","
                   20.01.2014	
            "
"
                 24/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/regulation-of-imports-and-exports-(amendment)-bill-24-2013.pdf?sfvrsn=0,Regulation of Imports and Exports (Amendment) Bill,"
                   21.01.2014	
            ","
                   20.01.2014	
            "
"
                 23/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/governmentprocurement(amendment)-bill-23-2013.pdf?sfvrsn=0,Government Procurement (Amendment) Bill,"
                   21.01.2014
            ","
                   20.01.2014
            "
"
                 22/2013	
            ","
                  11.11.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/prisons_(amendment)_bill-22-2013.pdf?sfvrsn=0,Prisons (Amendment) Bill,"
                   21.01.2014	
            ","
                   20.01.2014	
            "
"
                 21/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/employment-parental-leave-and-other-measures-bill-21-2013.pdf?sfvrsn=0,"Employment, Parental Leave and Other Measures Bill","
                   11.11.2013	
            ","
                   11.11.2013	
            "
"
                 20/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/central-provident-fund-(amendment)-bill-20-2013.pdf?sfvrsn=0,Central Provident Fund (Amendment) Bill,"
                   12.11.2013	
            ","
                   11.11.2013	
            "
"
                 19/2013	
            ","
                  21.10.2013
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/road-traffic-(amendment)-bill19-2013.pdf?sfvrsn=0,Road Traffic (Amendment) Bill,"
                   11.11.2013	
            ","
                   11.11.2013	
            "
"
                 28/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/civil-aviation-authority-of-singapore-(amendment)-bill-28-2015.pdf?sfvrsn=0,Civil Aviation Authority of Singapore (Amendment) Bill,"
                   18.08.2015	
            ","
                   18.08.2015	
            "
"
                 27/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-transport-council-(amendment)-bill-27-2015.pdf?sfvrsn=0,Public Transport Council (Amendment) Bill,"
                   18.08.2015	
            ","
                   18.08.2015	
            "
"
                 26/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/bus-services-industry-bill-26-2015.pdf?sfvrsn=0,Bus Services Industry Bill,"
                   18.08.2015	
            ","
                   18.08.2015	
            "
"
                 25/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/human-biomedical-research-bill-25-2015.pdf?sfvrsn=0,Human Biomedical Research Bill,"
                   18.08.2015
            ","
                   17.08.2015
            "
"
                 24/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/silver-support-scheme-bill-24-2015.pdf?sfvrsn=0,Silver Support Scheme Bill,"
                   17.08.2015	
            ","
                   17.08.2015	
            "
"
                 23/2015	
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/employment-(amendment)-bill-23-2015.pdf?sfvrsn=0,Employment (Amendment) Bill,"
                   17.08.2015	
            ","
                   17.08.2015	
            "
"
                 22/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/asian-infrastructure-investment-bank-bill-22-2015.pdf?sfvrsn=0,Asian Infrastructure Investment Bank Bill,"
                   17.08.2015	
            ","
                   17.08.2015	
            "
"
                 21/2015
            ","
                  13.07.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/organised-crime-bill-21-2015.pdf?sfvrsn=0,Organised Crime Bill,"
                   17.08.2015	
            ","
                   17.08.2015	
            "
"
                 20/2015
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/institute-of-southeast-asian-studies-(amendment)-bill-20-2015.pdf?sfvrsn=0,Institute of Southeast Asian Studies (Amendment) Bill,"
                   14.07.2015	
            ","
                   14.07.2015	
            "
"
                 19/2015	
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/maritime-offences-(amendment)-bill-19-2015.pdf?sfvrsn=0,Maritime Offences (Amendment) Bill,"
                   14.07.2015	
            ","
                   14.07.2015	
            "
"
                 18/2015
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/bankruptcy-(amendment)-bill-18-2015.pdf?sfvrsn=0,Bankruptcy (Amendment) Bill,"
                   14.07.2015
            ","
                   13.07.2015
            "
"
                 17/2015
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/constitution-of-the-republic-of-singapore-(amendment)-bill-17-2015.pdf?sfvrsn=0,Constitution of the Republic of Singapore (Amendment) Bill,"
                   13.07.2015	
            ","
                   13.07.2015	
            "
"
                 16/2015
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/insurance-(amendment)-bill-16-2015.pdf?sfvrsn=0,Insurance (Amendment) Bill,"
                   13.07.2015	
            ","
                   13.07.2015	
            "
"
                 15/2015
            ","
                  11.05.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/financial-advisers-(amendment)-bill-15-2015.pdf?sfvrsn=0,Financial Advisers (Amendment) Bill,"
                   13.07.2015	
            ","
                   13.07.2015	
            "
"
                 14/2015
            ","
                  13.04.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/third-party-taxi-booking-service-providers-bill-14-2015.pdf?sfvrsn=0,Third-Party Taxi Booking Service Providers Bill,"
                   11.05.2015	
            ","
                   11.05.2015	
            "
"
                 13/2015	
            ","
                  13.04.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/unmanned-aircraft-(public-safety-and-security)-bill-13-2015.pdf?sfvrsn=0,Unmanned Aircraft (Public Safety and Security) Bill,"
                   11.05.2015
            ","
                   11.05.2015
            "
"
                 12/2015
            ","
                  13.04.2015
            ",http://www.parliament.gov.sg/docs/default-source/default-document-library/govt-securities-(amendment)-bill-12-2015.pdf?sfvrsn=0,Government Securities (Amendment) Bill,"
                   11.05.2015	
            ","
                   11.05.2015	
            "
"
                 11/2015	
            ","
                  13.04.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/monetary-authority-of-singapore-(amendment)-bill-11-2015.pdf?sfvrsn=0,Monetary Authority of Singapore (Amendment) Bill,"
                   11.05.2015
            ","
                   11.05.2015
            "
"
                 10/2015
            ","
                  12.03.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/housing-and-development-(amendment)-bill-10-2015.pdf?sfvrsn=0,Housing and Development (Amendment) Bill,"
                   13.04.2015	
            ","
                   13.04.2015	
            "
"
                 09/2015
            ","
                  03.03.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supplementary-supply-(fy-2014)-bill-9-2015.pdf?sfvrsn=0,Supplementary Supply (FY 2014) Bill,"
                   13.03.2015	
            ","
                   13.03.2015	
            "
"
                 08/2015
            ","
                  03.03.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supply-bill-8-2015.pdf?sfvrsn=0,Supply Bill,"
                   13.03.2015	
            ","
                   13.03.2015	
            "
"
                 07/2015
            ","
                  12.02.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/land-acquisition-(amendment)-bill-7-2015.pdf?sfvrsn=0,Land Acquisition (Amendment) Bill,"
                   13.03.2015	
            ","
                   13.03.2015	
            "
"
                 06/2015
            ","
                  12.02.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/state-lands-(amendment)-bill-6-2015.pdf?sfvrsn=0,State Lands (Amendment) Bill,"
                   13.03.2015
            ","
                   13.03.2015
            "
"
                 05/2015
            ","
                  29.01.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/police-force-(amendment)-bill-5-2015.pdf?sfvrsn=0,Police Force (Amendment) Bill,"
                   13.03.2015
            ","
                   13.03.2015
            "
"
                 04/2015	
            ","
                  19.01.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/community-disputes-resolution-bill-4-2015.pdf?sfvrsn=0,Community Disputes Resolution Bill,"
                   13.03.2015	
            ","
                   13.03.2015	
            "
"
                 03/2015
            ","
                  19.01.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/medishield-life-scheme-bill-3-2015.pdf?sfvrsn=0,MediShield Life Scheme Bill,"
                   29.01.2015	
            ","
                   29.01.2015	
            "
"
                 02/2015
            ","
                  19.01.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/deep-seabed-mining-bill-2-2015.pdf?sfvrsn=0,Deep Seabed Mining Bill,"
                   12.02.2015	
            ","
                   12.02.2015	
            "
"
                 01/2015
            ","
                  19.01.2015
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/liquor-control-(supply-and-consumption)-bill-1-2015.pdf?sfvrsn=0,Liquor Control (Supply and Consumption) Bill,"
                   30.01.2015	
            ","
                   30.01.2015	
            "
"
                 43/2014
            ","
                  04.11.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/foreign-employee-dormitories-bill-43-2014.pdf?sfvrsn=0,Foreign Employee Dormitories Bill,"
                   20.01.2015	
            ","
                   20.01.2015	
            "
"
                 42/2014
            ","
                  04.11.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/pawnbrokers-bill-42-2014.pdf?sfvrsn=0,Pawnbrokers Bill,"
                   19.01.2015	
            ","
                   19.01.2015	
            "
"
                 41/2014
            ","
                  03.11.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/industrial-relations-(amendment)-bill-41-2014.pdf?sfvrsn=0,Industrial Relations (Amendment) Bill,"
                   19.01.2015	
            ","
                   19.01.2015	
            "
"
                 40/2014
            ","
                  04.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/animals-and-birds-(amendment)-bill-40-2014.pdf?sfvrsn=0,Animals and Birds (Amendment) Bill,"
                   04.11.2014
            ","
                   04.11.2014
            "
"
                 39/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/prevention-of-human-trafficking-bill-39-2014.pdf?sfvrsn=0,Prevention of Human Trafficking Bill,"
                   03.11.2014	
            ","
                   03.11.2014	
            "
"
                 38/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/supreme-court-of-judicature-(amendment)-bill-38-2014.pdf?sfvrsn=0,Supreme Court of Judicature (Amendment) Bill,"
                   04.11.2014
            ","
                   04.11.2014
            "
"
                 37/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/statutes-(miscellaneous-amendments-deputy-attorney-general)-bill-37-2014).pdf?sfvrsn=0,Statutes (Miscellaneous Amendments – Deputy Attorney-General) Bill,"
                   04.11.2014	
            ","
                   04.11.2014	
            "
"
                 36/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/legal-profession-(amendment)-bill-36-2014.pdf?sfvrsn=0,Legal Profession (Amendment) Bill,"
                   04.11.2014	
            ","
                   04.11.2014	
            "
"
                 35/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/constitution-of-the-republic-of-singapore-(amendment)-bill-35-2014.pdf?sfvrsn=0,Constitution of the Republic of Singapore (Amendment) Bill,"
                   04.11.2014	
            ","
                   04.11.2014	
            "
"
                 34/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/public-trustee-(amendment)-bill-34-2014.pdf?sfvrsn=0,Public Trustee (Amendment) Bill,"
                   03.11.2014	
            ","
                   03.11.2014	
            "
"
                 33/2014	
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/income-tax-(amendment)-bill-33-2014.pdf?sfvrsn=0,Income Tax (Amendment) Bill,"
                   03.11.2014	
            ","
                   03.11.2014	
            "
"
                 32/2014
            ","
                  07.10.2014
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/pioneer-generation-fund-bill-32-2014.pdf?sfvrsn=0,Pioneer Generation Fund Bill,"
                   03.11.2014	
            ","
                   03.11.2014	
            "
"
                 37/2010	
            ","
                  20.11.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/employment-agencies-(amendment)-bill-37-10.pdf?sfvrsn=0,Employment Agencies (Amendment) Bill,"
                   11.01.2011
            ","
                   
            "
"
                 36/2010	
            ","
                  20.11.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/retirement-age-(amendment)-bill-36-10.pdf?sfvrsn=0,Retirement Age (Amendment) Bill,"
                   11.01.2011
            ","
                   
            "
"
                 35/2010	
            ","
                  20.11.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/children-and-young-persons-(amendment)-bill-35-10.pdf?sfvrsn=0,Children and Young Persons (Amendment) Bill,"
                   10.01.2011
            ","
                   
            "
"
                 34/2010	
            ","
                  20.11.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/women's-charter-(amendment)-bill-34-10.pdf?sfvrsn=0,Women's Charter (Amendment) Bill,"
                   10.01.2011
            ","
                   
            "
"
                 33/2010	
            ","
                  20.11.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/allied-health-professions-bill-33-10.pdf?sfvrsn=0,Allied Health Professions Bill,"
                   10.01.2011
            ","
                   
            "
"
                 32/2010	
            ","
                  18.10.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/maintenance-of-parents-(amendment)-bill-32-10.pdf?sfvrsn=0,Maintenance of Parents (Amendment) Bill,"
                   23.11.2010
            ","
                   
            "
"
                 31/2010	
            ","
                  18.10.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/industrial-relations-(amendment)-bill-31-10.pdf?sfvrsn=0,Industrial Relations (Amendment) Bill,"
                   22.11.2010
            ","
                   
            "
"
                 30/2010	
            ","
                  18.10.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/residential-property-(amendment)-bill-30-10.pdf?sfvrsn=0,Residential Property (Amendment) Bill,"
                   22.11.2010
            ","
                   
            "
"
                 29/2010	
            ","
                  18.10.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/charities-(amendment)-bill-29-10.pdf?sfvrsn=0,Charities (Amendment) Bill,"
                   22.11.2010
            ","
                   
            "
"
                 28/2010	
            ","
                  18.10.2010
            ",http://www.parliament.gov.sg/docs/default-source/Bills-Introduced/economic-expansion-incentives-(relief-from-income-tax)-(amendment)-bill28-10.pdf?sfvrsn=0,Economic Expansion Incentives (Relief from Income Tax) (Amendment) Bill,"
                   22.11.2010
            ","
                   
            "
